id,name,score1,score2
525,Student_525,73,61
526,Student_526,91,57
527,Student_527,88,54
528,Student_528,70,69
529,Student_529,57,65
530,Student_530,67,57
531,Student_531,52,93
532,Student_532,92,89
533,Student_533,64,94
534,Student_534,50,81
535,Student_535,92,58
536,Student_536,98,99
537,Student_537,100,66
538,Student_538,56,89
539,Student_539,72,51
540,Student_540,86,75
541,Student_541,62,56
542,Student_542,89,68
543,Student_543,69,72
544,Student_544,76,56
545,Student_545,96,76
546,Student_546,61,88
547,Student_547,60,87
548,Student_548,100,54
549,Student_549,89,79
550,Student_550,82,52
551,Student_551,84,100
552,Student_552,62,69
553,Student_553,100,86
554,Student_554,95,51
555,Student_555,79,71
556,Student_556,77,84
557,Student_557,54,94
558,Student_558,60,81
559,Student_559,98,64
560,Student_560,75,78
561,Student_561,64,80
562,Student_562,90,74
563,Student_563,96,70
564,Student_564,60,93
565,Student_565,76,51
566,Student_566,92,84
567,Student_567,68,98
568,Student_568,86,76
569,Student_569,61,71
570,Student_570,50,85
571,Student_571,85,91
572,Student_572,77,94
573,Student_573,56,64
574,Student_574,69,53
575,Student_575,67,65
576,Student_576,95,53
577,Student_577,93,86
578,Student_578,71,95
579,Student_579,99,99
580,Student_580,53,50
581,Student_581,98,89
582,Student_582,83,64
583,Student_583,81,56
584,Student_584,70,89
585,Student_585,89,57
586,Student_586,98,63
587,Student_587,90,80
588,Student_588,57,86
589,Student_589,79,88
590,Student_590,68,93
591,Student_591,91,90
592,Student_592,91,73
593,Student_593,99,67
594,Student_594,89,61
595,Student_595,53,78
596,Student_596,66,80
597,Student_597,82,69
598,Student_598,99,85
599,Student_599,75,72
600,Student_600,59,76
601,Student_601,94,50
602,Student_602,59,87
603,Student_603,78,53
604,Student_604,88,94
605,Student_605,66,59
606,Student_606,93,55
607,Student_607,55,65
608,Student_608,59,54
609,Student_609,71,76
610,Student_610,75,78
611,Student_611,52,70
612,Student_612,69,53
613,Student_613,74,78
614,Student_614,68,66
615,Student_615,77,82
616,Student_616,76,73
617,Student_617,76,88
618,Student_618,55,63
619,Student_619,55,75
620,Student_620,55,64
621,Student_621,100,84
622,Student_622,69,89
623,Student_623,68,95
624,Student_624,71,54
625,Student_625,75,81
626,Student_626,82,78
627,Student_627,56,75
628,Student_628,83,96
629,Student_629,77,98
630,Student_630,60,93
631,Student_631,95,67
632,Student_632,88,57
633,Student_633,53,84
634,Student_634,69,55
635,Student_635,55,66
636,Student_636,92,50
637,Student_637,100,58
638,Student_638,59,64
639,Student_639,71,66
640,Student_640,51,96
641,Student_641,83,69
642,Student_642,68,50
643,Student_643,91,99
644,Student_644,79,92
645,Student_645,77,79
646,Student_646,89,69
647,Student_647,82,76
648,Student_648,93,63
649,Student_649,83,94
650,Student_650,69,80
651,Student_651,52,63
652,Student_652,55,92
653,Student_653,79,95
654,Student_654,66,95
655,Student_655,83,56
656,Student_656,71,84
657,Student_657,55,93
658,Student_658,60,58
659,Student_659,85,74
660,Student_660,69,78
661,Student_661,52,86
662,Student_662,79,76
663,Student_663,96,51
664,Student_664,72,57
665,Student_665,63,90
666,Student_666,50,70
667,Student_667,91,75
668,Student_668,63,50
669,Student_669,88,66
670,Student_670,93,76
671,Student_671,55,57
672,Student_672,96,86
673,Student_673,96,58
674,Student_674,52,100
675,Student_675,79,71
676,Student_676,68,93
677,Student_677,97,73
678,Student_678,77,64
679,Student_679,59,64
680,Student_680,83,69
681,Student_681,54,78
682,Student_682,71,99
683,Student_683,88,69
684,Student_684,56,83
685,Student_685,70,52
686,Student_686,52,66
687,Student_687,91,85
688,Student_688,91,85
689,Student_689,71,56
690,Student_690,95,56
691,Student_691,76,79
692,Student_692,85,57
693,Student_693,66,86
694,Student_694,79,68
695,Student_695,57,99
696,Student_696,96,100
697,Student_697,62,62
698,Student_698,73,54
699,Student_699,99,69
700,Student_700,94,62
701,Student_701,75,59
702,Student_702,67,99
703,Student_703,82,62
704,Student_704,59,56
705,Student_705,71,55
706,Student_706,95,60
707,Student_707,87,50
708,Student_708,77,86
709,Student_709,75,60
710,Student_710,50,94
711,Student_711,62,67
712,Student_712,68,79
713,Student_713,85,73
714,Student_714,94,86
715,Student_715,71,77
716,Student_716,84,78
717,Student_717,74,97
718,Student_718,90,65
719,Student_719,74,91
720,Student_720,62,52
721,Student_721,68,68
722,Student_722,73,82
723,Student_723,96,70
724,Student_724,65,61
725,Student_725,95,82
726,Student_726,58,95
727,Student_727,78,73
728,Student_728,76,99
729,Student_729,99,69
730,Student_730,52,73
731,Student_731,92,86
732,Student_732,56,81
733,Student_733,58,75
734,Student_734,54,66
735,Student_735,98,85
736,Student_736,82,80
737,Student_737,72,70
738,Student_738,77,68
739,Student_739,54,70
740,Student_740,54,99
741,Student_741,80,74
742,Student_742,54,57
743,Student_743,59,52
744,Student_744,86,84
745,Student_745,55,67
746,Student_746,55,56
747,Student_747,99,74
748,Student_748,76,75
749,Student_749,69,86
750,Student_750,69,100
751,Student_751,60,98
752,Student_752,70,69
753,Student_753,50,54
754,Student_754,89,84
755,Student_755,55,92
756,Student_756,50,62
757,Student_757,51,90
758,Student_758,71,81
759,Student_759,80,59
760,Student_760,50,77
761,Student_761,64,99
762,Student_762,59,58
763,Student_763,88,79
764,Student_764,91,65
765,Student_765,60,74
766,Student_766,95,92
767,Student_767,74,53
768,Student_768,91,80
769,Student_769,84,60
770,Student_770,84,83
771,Student_771,55,65
772,Student_772,57,88
773,Student_773,76,73
774,Student_774,58,75
775,Student_775,75,93
776,Student_776,89,59
777,Student_777,95,52
778,Student_778,55,72
779,Student_779,97,55
780,Student_780,81,82
781,Student_781,63,83
782,Student_782,58,71
783,Student_783,76,62
784,Student_784,92,81
785,Student_785,99,59
786,Student_786,75,87
787,Student_787,79,61
788,Student_788,65,82
789,Student_789,92,89
790,Student_790,70,70
791,Student_791,94,52
792,Student_792,54,87
793,Student_793,56,100
794,Student_794,95,70
795,Student_795,57,84
796,Student_796,90,51
797,Student_797,95,51
798,Student_798,94,83
799,Student_799,94,62
800,Student_800,71,58
801,Student_801,56,98
802,Student_802,90,59
803,Student_803,76,63
804,Student_804,60,80
805,Student_805,61,64
806,Student_806,67,79
807,Student_807,77,58
808,Student_808,65,73
809,Student_809,91,86
810,Student_810,59,67
811,Student_811,60,62
812,Student_812,59,50
813,Student_813,99,93
814,Student_814,66,62
815,Student_815,85,85
816,Student_816,70,69
817,Student_817,100,59
818,Student_818,74,92
819,Student_819,100,91
820,Student_820,81,78
821,Student_821,100,80
822,Student_822,64,77
823,Student_823,66,57
824,Student_824,50,63
825,Student_825,87,79
826,Student_826,76,99
827,Student_827,83,91
828,Student_828,71,90
829,Student_829,65,91
830,Student_830,89,79
831,Student_831,81,79
832,Student_832,73,61
833,Student_833,99,87
834,Student_834,69,81
835,Student_835,65,83
836,Student_836,89,59
837,Student_837,94,62
838,Student_838,52,50
839,Student_839,94,100
840,Student_840,100,95
841,Student_841,97,67
842,Student_842,78,73
843,Student_843,68,88
844,Student_844,70,96
845,Student_845,87,91
846,Student_846,64,85
847,Student_847,60,95
848,Student_848,52,81
849,Student_849,70,61
850,Student_850,64,95
851,Student_851,75,80
852,Student_852,99,67
853,Student_853,51,97
854,Student_854,96,100
855,Student_855,91,63
856,Student_856,66,100
857,Student_857,70,63
858,Student_858,68,99
859,Student_859,79,91
860,Student_860,87,77
861,Student_861,86,70
862,Student_862,100,76
863,Student_863,97,74
864,Student_864,52,64
865,Student_865,51,82
866,Student_866,81,97
867,Student_867,63,71
868,Student_868,94,57
869,Student_869,100,51
870,Student_870,52,99
871,Student_871,50,98
872,Student_872,71,60
873,Student_873,90,92
874,Student_874,76,85
875,Student_875,73,62
876,Student_876,60,57
877,Student_877,66,97
878,Student_878,62,77
879,Student_879,81,52
880,Student_880,79,71
881,Student_881,93,85
882,Student_882,78,71
883,Student_883,63,52
884,Student_884,64,76
885,Student_885,92,66
886,Student_886,89,54
887,Student_887,52,94
888,Student_888,86,74
889,Student_889,61,59
890,Student_890,69,91
891,Student_891,66,50
892,Student_892,66,79
893,Student_893,63,68
894,Student_894,69,90
895,Student_895,92,67
896,Student_896,76,73
897,Student_897,63,83
898,Student_898,62,70
899,Student_899,83,83
900,Student_900,95,88
901,Student_901,83,57
902,Student_902,76,79
903,Student_903,79,85
904,Student_904,59,50
905,Student_905,80,68
906,Student_906,68,59
907,Student_907,92,96
908,Student_908,67,78
909,Student_909,95,99
910,Student_910,75,99
911,Student_911,91,72
912,Student_912,57,95
913,Student_913,69,91
914,Student_914,54,81
915,Student_915,97,54
916,Student_916,90,62
917,Student_917,73,68
918,Student_918,70,95
919,Student_919,100,93
920,Student_920,90,68
921,Student_921,71,89
922,Student_922,53,54
923,Student_923,75,86
924,Student_924,88,81
925,Student_925,99,100
926,Student_926,78,78
927,Student_927,95,52
928,Student_928,98,87
929,Student_929,89,51
930,Student_930,67,55
931,Student_931,67,70
932,Student_932,55,69
933,Student_933,94,90
934,Student_934,81,83
935,Student_935,69,69
936,Student_936,63,63
937,Student_937,95,80
938,Student_938,78,64
939,Student_939,73,98
940,Student_940,88,76
941,Student_941,68,79
942,Student_942,77,87
943,Student_943,84,58
944,Student_944,62,85
945,Student_945,54,56
946,Student_946,61,69
947,Student_947,72,62
948,Student_948,93,71
949,Student_949,95,84
950,Student_950,52,100
951,Student_951,77,50
952,Student_952,65,70
953,Student_953,87,52
954,Student_954,83,90
955,Student_955,75,74
956,Student_956,59,53
957,Student_957,62,65
958,Student_958,59,73
959,Student_959,62,61
960,Student_960,71,100
961,Student_961,54,79
962,Student_962,98,70
963,Student_963,92,63
964,Student_964,76,69
965,Student_965,98,98
966,Student_966,72,55
967,Student_967,87,85
968,Student_968,82,77
969,Student_969,74,65
970,Student_970,60,91
971,Student_971,77,70
972,Student_972,97,90
973,Student_973,52,77
974,Student_974,96,69
975,Student_975,99,61
976,Student_976,63,68
977,Student_977,77,79
978,Student_978,51,79
979,Student_979,52,62
980,Student_980,94,50
981,Student_981,58,95
982,Student_982,100,84
983,Student_983,100,84
984,Student_984,89,75
985,Student_985,56,50
986,Student_986,76,71
987,Student_987,66,82
988,Student_988,79,71
989,Student_989,87,50
990,Student_990,82,71
991,Student_991,88,79
992,Student_992,94,87
993,Student_993,75,84
994,Student_994,74,59
995,Student_995,56,85
996,Student_996,91,52
997,Student_997,73,85
998,Student_998,85,68
999,Student_999,68,59
1000,Student_1000,96,65
1001,Student_1001,51,53
1002,Student_1002,51,67
1003,Student_1003,100,87
1004,Student_1004,61,60
1005,Student_1005,75,51
1006,Student_1006,63,51
1007,Student_1007,60,72
1008,Student_1008,67,81
1009,Student_1009,76,77
1010,Student_1010,53,61
1011,Student_1011,91,71
1012,Student_1012,71,96
1013,Student_1013,91,62
1014,Student_1014,86,64
1015,Student_1015,59,89
1016,Student_1016,91,78
1017,Student_1017,79,89
1018,Student_1018,79,85
1019,Student_1019,88,76
1020,Student_1020,100,67
1021,Student_1021,82,82
1022,Student_1022,68,63
1023,Student_1023,73,73
1024,Student_1024,91,63
1025,Student_1025,100,92
1026,Student_1026,91,78
1027,Student_1027,92,81
1028,Student_1028,87,79
1029,Student_1029,69,64
1030,Student_1030,65,86
1031,Student_1031,55,51
1032,Student_1032,98,59
1033,Student_1033,52,93
1034,Student_1034,62,96
1035,Student_1035,86,69
1036,Student_1036,67,50
1037,Student_1037,69,55
1038,Student_1038,75,52
1039,Student_1039,57,59
1040,Student_1040,76,63
1041,Student_1041,95,87
1042,Student_1042,98,68
1043,Student_1043,100,53
1044,Student_1044,86,100
1045,Student_1045,93,73
1046,Student_1046,63,69
1047,Student_1047,81,63
1048,Student_1048,83,89
1049,Student_1049,85,97
1050,Student_1050,77,85
1051,Student_1051,79,99
1052,Student_1052,69,89
1053,Student_1053,55,60
1054,Student_1054,78,67
1055,Student_1055,77,77
1056,Student_1056,54,84
1057,Student_1057,88,52
1058,Student_1058,68,58
1059,Student_1059,83,72
1060,Student_1060,63,87
1061,Student_1061,93,71
1062,Student_1062,94,70
1063,Student_1063,72,60
1064,Student_1064,95,66
1065,Student_1065,90,75
1066,Student_1066,63,53
1067,Student_1067,96,92
1068,Student_1068,58,66
1069,Student_1069,53,54
1070,Student_1070,93,92
1071,Student_1071,55,52
1072,Student_1072,73,73
1073,Student_1073,96,75
1074,Student_1074,60,62
1075,Student_1075,98,71
1076,Student_1076,75,60
1077,Student_1077,91,57
1078,Student_1078,77,53
1079,Student_1079,100,93
1080,Student_1080,94,59
1081,Student_1081,63,75
1082,Student_1082,75,98
1083,Student_1083,89,66
1084,Student_1084,73,89
1085,Student_1085,62,64
1086,Student_1086,79,57
1087,Student_1087,91,83
1088,Student_1088,55,92
1089,Student_1089,51,82
1090,Student_1090,93,73
1091,Student_1091,92,63
1092,Student_1092,85,71
1093,Student_1093,51,100
1094,Student_1094,83,67
1095,Student_1095,91,91
1096,Student_1096,84,63
1097,Student_1097,55,77
1098,Student_1098,78,64
1099,Student_1099,63,74
1100,Student_1100,74,86
1101,Student_1101,77,50
1102,Student_1102,96,84
1103,Student_1103,98,94
1104,Student_1104,79,53
1105,Student_1105,92,65
1106,Student_1106,77,87
1107,Student_1107,64,65
1108,Student_1108,83,93
1109,Student_1109,54,88
1110,Student_1110,52,67
1111,Student_1111,64,54
1112,Student_1112,79,86
1113,Student_1113,76,80
1114,Student_1114,100,59
1115,Student_1115,81,71
1116,Student_1116,89,75
1117,Student_1117,71,74
1118,Student_1118,56,89
1119,Student_1119,79,76
1120,Student_1120,61,87
1121,Student_1121,58,74
1122,Student_1122,97,57
1123,Student_1123,97,95
1124,Student_1124,93,71
1125,Student_1125,72,88
1126,Student_1126,94,60
1127,Student_1127,56,100
1128,Student_1128,57,86
1129,Student_1129,50,65
1130,Student_1130,72,68
1131,Student_1131,77,73
1132,Student_1132,100,80
1133,Student_1133,87,52
1134,Student_1134,67,92
1135,Student_1135,64,54
1136,Student_1136,56,85
1137,Student_1137,52,55
1138,Student_1138,74,75
1139,Student_1139,86,59
1140,Student_1140,78,81
1141,Student_1141,50,65
1142,Student_1142,76,97
1143,Student_1143,83,59
1144,Student_1144,90,86
1145,Student_1145,78,52
1146,Student_1146,100,61
1147,Student_1147,58,50
1148,Student_1148,86,72
1149,Student_1149,76,70
1150,Student_1150,60,94
1151,Student_1151,52,69
1152,Student_1152,61,87
1153,Student_1153,77,75
1154,Student_1154,95,70
1155,Student_1155,57,54
1156,Student_1156,57,65
1157,Student_1157,53,65
1158,Student_1158,89,99
1159,Student_1159,73,71
1160,Student_1160,62,55
1161,Student_1161,60,74
1162,Student_1162,97,82
1163,Student_1163,73,78
1164,Student_1164,79,90
1165,Student_1165,55,84
1166,Student_1166,76,98
1167,Student_1167,58,82
1168,Student_1168,94,77
1169,Student_1169,87,95
1170,Student_1170,60,56
1171,Student_1171,82,58
1172,Student_1172,54,52
1173,Student_1173,62,87
1174,Student_1174,53,55
1175,Student_1175,77,98
1176,Student_1176,96,76
1177,Student_1177,63,65
1178,Student_1178,72,65
1179,Student_1179,98,76
1180,Student_1180,74,91
1181,Student_1181,64,69
1182,Student_1182,96,65
1183,Student_1183,57,83
1184,Student_1184,96,57
1185,Student_1185,72,85
1186,Student_1186,52,53
1187,Student_1187,70,76
1188,Student_1188,84,50
1189,Student_1189,56,75
1190,Student_1190,84,67
1191,Student_1191,96,90
1192,Student_1192,51,63
1193,Student_1193,71,68
1194,Student_1194,81,77
1195,Student_1195,50,74
1196,Student_1196,87,100
1197,Student_1197,87,60
1198,Student_1198,65,95
1199,Student_1199,84,76
1200,Student_1200,74,91
1201,Student_1201,100,87
1202,Student_1202,96,86
1203,Student_1203,79,96
1204,Student_1204,85,85
1205,Student_1205,84,90
1206,Student_1206,59,63
1207,Student_1207,82,68
1208,Student_1208,94,60
1209,Student_1209,72,58
1210,Student_1210,75,74
1211,Student_1211,87,57
1212,Student_1212,77,66
1213,Student_1213,75,85
1214,Student_1214,89,90
1215,Student_1215,94,86
1216,Student_1216,83,96
1217,Student_1217,53,67
1218,Student_1218,97,81
1219,Student_1219,67,87
1220,Student_1220,56,71
1221,Student_1221,85,52
1222,Student_1222,57,51
1223,Student_1223,59,71
1224,Student_1224,89,87
1225,Student_1225,84,52
1226,Student_1226,92,62
1227,Student_1227,58,87
1228,Student_1228,81,52
1229,Student_1229,67,97
